,Subrub_Name,Latitude,Longitude
272,South Bunbury,-33.348755,115.631785
273,Winnejup,-23.992438,134.050443
274,Beeliar,-32.134133,115.80637
275,Malmalling,-23.992438,134.050443
276,Somerville,-23.992438,134.050443
277,Badgerin Rock,-23.992438,134.050443
278,Crooked Brook,-23.992438,134.050443
279,Coorow,-29.883492,116.018353
280,Stoneville,-31.853784,116.171311
281,Finucane,-20.298909,118.560333
282,Georgina,-28.8775,114.7536
283,Prince Regent River,18.547808,-72.343769
284,Coral Bay,-23.14526,113.774354
285,Manmanning,-30.85,117.1
286,Bonniefield,-29.116388,115.141295
287,Girrawheen,-31.840941,115.839453
288,West Fitzgerald,-23.992438,134.050443
289,Greenfields,-32.52526,115.761532
290,Mount Horner,-37.688633,144.628781
291,Harvey,-33.077958,115.910244
292,Wickepin,-32.783602,117.501516
293,Cullacabardee,-31.815058,115.90119
294,Schroeder,-26.398783,-49.079532
295,Scott River East,-23.992438,134.050443
296,Holyoake,-32.71667,116.08333
297,Beresford,-28.756974,114.619644
298,Hazelvale,-34.960386,116.788101
299,Channybearup,-23.992438,134.050443
300,Muckenburra,-31.404219,115.811951
301,Pippingarra,-23.992438,134.050443
302,Nullagine,-21.889361,120.107461
303,Cordering,-23.992438,134.050443
304,West Holleton,-31.95,119.03333
305,Wyalkatchem,-31.177375,117.383665
306,Jolimont,-23.992438,134.050443
307,Marvel Loch,-32.045047,115.785997
308,Gorge Rock,-23.992438,134.050443
309,Waroona,-32.846699,115.926519
310,Sandsprings,-23.992438,134.050443
311,Marybrook,-33.670988,115.20685
312,West Coolup,-32.75364,115.7986
313,Victoria Park,-31.976056,115.893254
314,Forrestania,-23.992438,134.050443
315,Kambalda West,-31.212538,121.609999
316,Borderdale,-23.992438,134.050443
317,Lower Hotham,-32.8,116.3
318,Marble Bar,-21.286547,118.388459
319,Badjaling,-23.992438,134.050443
320,Cooya Pooya,-23.992438,134.050443
321,Herron,-32.76,115.674455
322,Orange Springs,-23.992438,134.050443
323,Leonora,-28.909076,121.338316
324,Henderson,-23.992438,134.050443
325,Woodanilling,-33.56667,117.43333
326,Warnbro,-32.343686,115.757715
327,Dianella,-23.992438,134.050443
328,Irishtown,-23.992438,134.050443
329,Madura,-7.0,113.33333
330,Merkanooka,-23.992438,134.050443
331,Palmdale,34.563189,-118.072606
332,Pegs Creek,-20.737159,116.834436
333,Northam,-31.653172,116.66542
334,Nairibin,-23.992438,134.050443
335,Upper Warren,-31.70224,147.83392
336,Doodlakine,-31.58333,117.85
337,Mullaloo,-31.779677,115.739269
338,Stake Hill,-32.464376,115.798527
339,Collie,-33.350983,116.161304
340,Carramar,-31.698884,115.782338
341,Qualeup,-33.83333,116.8
342,Moonyoonooka,-28.814329,114.775303
343,Muradup,-33.83333,116.98333
344,Grimwade,-23.992438,134.050443
345,Useless Loop,-26.13333,113.41667
346,Codjatotine,-23.992438,134.050443
347,South Lake Grace,-35.2025,149.107363
348,Dampier,-20.664103,116.711014
349,South Bodallin,-31.37658,118.8761
350,Koorda,-30.819029,117.482626
351,Looma,-18.050245,124.121411
352,Coonana,-23.992438,134.050443
353,Redgate,-23.992438,134.050443
354,Beaufort River,5.375257,115.704204
355,West Perth,-31.947939,115.842461
356,Miling,-30.5,116.35
357,Stirling Estate,-31.885319,115.810799
358,Manning,-32.013364,115.869829
359,West River,-23.992438,134.050443
360,Centennial Park,-35.012289,117.879602
361,Wooramel,-25.77087,114.29419
362,Hulongine,-23.992438,134.050443
363,Connolly,-31.748386,115.750504
364,Hill River,-23.992438,134.050443
365,Hopeland,-32.37746,115.887282
366,Redbank,-23.992438,134.050443
367,Gairdner,-23.992438,134.050443
368,Mount Richon,-32.175964,116.019815
369,Rivervale,-23.992438,134.050443
370,Port Albany,-35.030293,117.899104
371,Tuart Hill,-31.898041,115.835157
372,Boallia,-23.992438,134.050443
373,Scaddan,-33.44452,121.73105
374,Watermans Bay,-31.849596,115.758667
375,East Popanyinning,-32.63333,117.25
376,Ballaying,-33.30641,117.55248
377,Beachlands,-28.785413,114.602478
378,Jalbarragup,-34.236649,115.539566
379,Keralup,-32.42548,115.831929
380,Narraloggan,-23.992438,134.050443
381,Moore River National Park,-42.68333,146.73333
382,Mungalup,-23.992438,134.050443
383,St Ronans,-23.992438,134.050443
384,Leighton,42.724732,-85.599209
385,South Fremantle,-32.071467,115.754696
386,Calingiri,-31.1,116.45
387,Linfarne,-23.992438,134.050443
388,Wongoondy,-23.992438,134.050443
389,Carabooda,-31.605768,115.688632
390,Walkaway,-28.95,114.8
391,Mollerin,-30.45,117.51667
392,Corinthia,52.374687,8.996665
393,East Perth,-31.954127,115.875978
394,Whiteman,-31.82462,115.941242
395,Medina,-32.234307,115.80572
396,Kealy,-33.654209,115.228729
397,Peaceful Bay,-35.0225,116.9165
398,Wokalup,-33.11667,115.86667
399,Boyup Brook,-33.835396,116.388652
400,Sorrento,-31.827953,115.753466
401,North Eradu,-23.992438,134.050443
402,Crowea,-23.992438,134.050443
403,Wedgecarrup,-23.992438,134.050443
404,Wandi,-23.992438,134.050443
405,Callcup,-34.50904,116.001704
406,Gibson Desert South,-23.992438,134.050443
407,Nembudding,-31.19494,117.57371
408,Ballajura,-31.839857,115.895661
409,East Cannington,-32.008652,115.958791
410,Orelia,-23.992438,134.050443
411,Mullingar,-30.716403,121.474845
412,Nomans Lake,-32.9256,117.51938
413,Glen Forrest,-31.918843,116.107624
414,Kumarina,-23.992438,134.050443
415,Tutunup,-33.734182,115.574554
416,Swanbourne,-31.977213,115.765969
417,Huntingdale,-32.083154,115.965591
418,Goode Beach,-35.102806,117.932408
419,Bilbarin,-32.20612,117.95288
420,Camillo,-32.113022,116.002054
421,Hester,-33.9,116.15
422,Southern River,-32.107257,115.957166
423,Lyndon,-23.992438,134.050443
